Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2014-10-13 00:00:00-04:00,18.780137058531597,18.863861296698925,18.3035491489601,18.335750579833984,35930228,0.0,0.0
2014-10-14 00:00:00-04:00,18.445234500980032,18.548280098721143,18.29066480963049,18.329307556152344,24516462,0.0,0.0
2014-10-15 00:00:00-04:00,18.15541648864746,18.22626065571546,17.749672858119432,18.15541648864746,43407620,0.0,0.0
2014-10-16 00:00:00-04:00,17.949324944462774,18.039490488088994,17.717471059349023,17.8398380279541,39843835,0.0,0.0
2014-10-17 00:00:00-04:00,17.91068356307316,18.03949186227647,17.794756611685365,17.923564910888672,34331731,0.0,0.0
2014-10-20 00:00:00-04:00,17.94933269914871,18.013736871668932,17.775442857556342,17.987974166870117,41027372,0.0,0.0
2014-10-21 00:00:00-04:00,18.110339007828024,18.367954353735872,18.033054792477117,18.2133846282959,38453714,0.0,0.0
2014-10-22 00:00:00-04:00,18.194064131952434,18.34863386487856,18.03949569376453,18.226266860961914,32451184,0.0,0.0
2014-10-23 00:00:00-04:00,18.451676985319484,18.593365348458423,18.40015417958497,18.419475555419922,32436955,0.0,0.0
2014-10-24 00:00:00-04:00,18.54828313939341,18.850979956064336,18.490319010108404,18.747934341430664,29959845,0.0,0.0
2014-10-27 00:00:00-04:00,18.735053884839736,18.812338094156154,18.644888326601553,18.6964111328125,24207323,0.0,0.0
2014-10-28 00:00:00-04:00,18.786574910091254,18.870299138562505,18.586923731266175,18.73505210876465,34131050,0.0,0.0
2014-10-29 00:00:00-04:00,18.773698066275056,19.082836243136093,18.702853873770685,18.992671966552734,28814990,0.0,0.0
2014-10-30 00:00:00-04:00,18.928263784106488,19.308246072811734,18.928263784106488,19.218080520629883,22236449,0.0,0.0
2014-10-31 00:00:00-04:00,19.32757174361677,19.44993875103247,19.198763413372053,19.288928985595703,26555741,0.0,0.0
2014-11-03 00:00:00-05:00,19.256724256218043,19.449936731523646,19.230964146529708,19.443496704101562,22908374,0.0,0.0
2014-11-04 00:00:00-05:00,19.411289763718287,19.514335359055007,19.23739999790311,19.501455307006836,25702949,0.0,0.0
2014-11-05 00:00:00-05:00,19.72882009199793,19.754804607463655,19.455982026632103,19.514448165893555,20878159,0.246679,0.0
2014-11-06 00:00:00-05:00,19.540431375407856,19.65736234797933,19.468973631389257,19.514448165893555,17409340,0.0,0.0
2014-11-07 00:00:00-05:00,19.57291836502521,19.57291836502521,19.332560551610744,19.436498641967773,18200472,0.0,0.0
